index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Job_country,Job_state,Company_Year,python_yn,visualization_yn,Excel_yn,analysis_yn,communication_yn,aws_yn,desc_len,Job_Title,seniority
1,Senior Data Scientist,140.363,"About Shift:
We believe car buying should be fun, fair, and accessible to everyone. We've set out to transform an industry, using technology to bring transparency and convenience to the car buying process.
And we aren't stopping there. We seek to bring that same openness and simplicity to car ownership too, with payments, maintenance, and insurance in one easy app. At Shift, we're building the tools that empower people to buy, own, and sell the cars that make life go.
About the role:
Data Scientists at Shift build things that matter and have a material impact to the company's bottom line and the customer's experience. In this role, you will drive exciting, meaningful projects, and help define our technical and product strategy, you will have an opportunity to innovate. We move fast, have fun, and help each other out.",3.6,Shift,1001 to 5000 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Los Angeles, CA,8,0,0,0,0,0,0,828,data scientist,senior
4,Staff Data Scientist,195.0,"Emergency room visits and hospital stays can be uncomfortable and stressful times for families and their loved ones. DispatchHealth allows people to receive high quality and cost-effective medical care in the comfort of their homes. A rapidly scaling startup, DispatchHealth provides an integrated, convenient, high-touch care-delivery solution that extends the capabilities of the patient's care team and ensures that we provide personalized, quality care in the home or at the patient's location of need.
Data and technology drive all aspects of our business and allow for better care delivery from patient onboarding, patient care, and post care follow-up. We're looking to create a best-in-class technology platform that helps our patients stay in the comfort of their homes – and we're looking for people like you to help shape and build the technology that changes the way people receive healthcare.
As a Staff Data Scientist at DispatchHealth, you will work cross-functionally to research, develop, and implement robust data science solutions to solve critical business problems. In addition, you will work directly with the product, engineering, data engineering and clinical teams to facilitate the implementation of algorithms, measure performance against key performance indicators, and drive a process of continuous improvement using data. This person will report to the Vice President of Data Science and Data Engineering.",3.0,DispatchHealth,1001 to 5000 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,San Francisco, CA,7,0,0,0,0,0,0,1435,data scientist,na
6,Entry Level Data Scientist: 2022,92.332,"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Start dates for this role are January 2022 and later
Data scientists are in demand across IBM’s growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to start your career!

What you’ll do as an Entry Level Data Scientist:
Who You Are:
For more information on our other Entry Level opportunities, please visit here.

These are office based positions in IBM locations including the following. Opportunities in these locations will vary based on demand & will be deleted as filled:

CA - San Francisco, San Jose
CT - Southbury
GA - Brookhaven, Sandy Springs
MA – Andover, Cambridge, Lowell
NY - Armonk, NYC
NC - Research Triangle Park
TX - Austin, Dallas",4.0,IBM,10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),Research Triangle Park, NC,111,0,0,0,0,0,0,1313,data scientist,na
7,Data Scientist,108.739,"About Us
Nativo empowers brands and publishers with the world's most advanced technology for content. For brands, we enable storytelling at scale with the largest native reach and insights that unlock return-on-content. For publishers, we enrich monetization with the most comprehensive platform for next-generation ad formats and breakthrough technology for accelerated web pages. Our mission is to equip advertising for the age of content, improving the open web experience and creating meaningful connections with today's digital consumer.
At Nativo, our values are more than words—we live them through the way we work and collaborate. We are innovators and risk takers driven by curiosity and an entrepreneurial spirit to architect the future of advertising. The key to our success is connection through close communication, teamwork and a shared company culture that reflects the diversity of our clients ,our communities and ourselves.",4.0,Nativo,51 to 200 Employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Los Angeles, CA,12,0,0,0,0,1,0,941,data scientist,na
8,Senior Data Scientist (Remote),142.5,"About Celsius Network

Celsius addresses the financial needs of today’s consumers worldwide through a democratized interest income and lending platform accessible via mobile and desktop app. With a mission to put unparalleled economic freedom in the hands of the people, and a core belief that financial services should only do what is in the best interests of the community, Celsius is a modern earning and lending platform where membership provides access to curated financial services that are not available through traditional financial institutions. Crypto holders can earn yield on the digital assets in their account with Celsius, and can borrow fiat or stablecoins against their crypto collateral at the lowest interest rates in the space.

The Celsius team is committed to doing good and doing well. We believe in the power of disruption and the importance of decentralization to create a new system that acts in the best interest of everyone. Each member of our team brings something unique and innovative to the table, but the common thread that links us together is our passion for blockchain, equality, and leading the next financial revolution that changes the equation to bring power back to the people.",3.3,Celsius,201 to 500 Employees,2017,Company - Private,Lending,Finance,Unknown / Non-Applicable,Hoboken, NJ,5,0,0,0,0,0,0,1218,data scientist,senior
9,Data Scientist,117.492,"Do you want to change the world? We do, too.

Solar penetration is less than 1%, but just one hour of sunlight, if harnessed, could power the entire world for a year. We have the opportunity to change the way energy is produced, distributed and consumed, and we’re looking for talented, committed people to help us drive our growth and achieve our goals.

SunPower is a solar energy solutions company with a rich heritage of pioneering the best solar technologies in the world. Our solutions are unrivaled in terms of long-term reliability, efficiency, and performance. SunPower offers the only solar + storage solution designed and warranted by one company that gives customers control over electricity consumption. Through design, installation, maintenance, and monitoring, SunPower provides its world-class solar solutions to residential and commercial customers across the U.S.

SunPower is changing the way our world is powered every day with a brilliant, passionate, and driven team of more than 2,500 in North America and the Philippines. In an industry that is reshaping the world’s energy future, there’s no better place to be than SunPower.

We believe that our employees create our brand – with each project, each communication, each task completed and each interaction. SunPower welcomes the forward thinkers, the future savers of the world, the freedom chasers and all those demanding better, cleaner energy.",4.0,SunPower,5001 to 10000 Employees,1985,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),Richmond, CA,37,0,0,0,0,1,0,1421,data scientist,na
10,Data Scientist,117.0,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and state-of-the-art technology, the team strives to ensure that Nike gets the right product to the right place at the right time for the consumers.",4.1,Nike,10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0,944,data scientist,na
13,Data Scientist,97.778,"Why Housecall Pro?
Help us build solutions that build better lives. At Housecall Pro, we show up to work every day to make a difference for real people: the home service professionals that support America's 100 million homes.
We're all about the Pro, and dedicate our days to helping them streamline operations, scale their businesses, and—ultimately—save time so they can be with their families and live well. We care deeply about our customers and foster a culture where our company, employees, and Pros grow and succeed together. Leadership is as focused on growing team members' careers as they expect their teams to be on creating solutions for Pros.
We also offer:
A generous benefits program that supports the whole you with medical, dental, vision, life, disability, and 401(k)",4.5,Housecall Pro,201 to 500 Employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,San Diego, CA,9,0,0,0,0,0,0,785,data scientist,na
15,Data Scientist,97.025,"DK Consulting Overview: Founded in May 2003, DK Consulting, LLC, a woman-owned small business, was formed to provide management and technology solutions based on industry best practices. DK Consulting, LLC works with multiple State, Federal, and Commercial customers, and our services range from providing customers with that one 'critical resource' to assuming responsibility for an entire IT project. We maintain exceptional past performance and provide a personal touch to account management that is rarely seen in the industry today.

Duties:
Work with stakeholders throughout the organization to identify opportunities for leveraging data to drive solutions.
Mine and analyze data from databases to drive optimization and improvement
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",5.0,"DK Consulting, LLC",1 to 50 Employees,2003,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),Baltimore, MD,19,0,0,0,0,0,0,827,data scientist,na
21,Senior Data Scientist,142.5,"Rocket Travel is looking for a Senior Data Scientist with experience in Python and SQL to join our growing Data Science Team. Remote employment is an option for this role
The Data Science Team oversees building internal-facing decision making tools and product-facing production models that aid in scaling our growing business.
Rocket Travel is a place where you:
Work with a group of intrinsically motivated people with a track record for building successful new businesses from scratch.
Embody curiosity, community, and accountability. We live and build products by these values every day.
Own decisions and take action that can be implemented in a matter of days (or hours).",4.5,"Rocket Travel, Inc.",51 to 200 Employees,2012,Company - Public,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,New York, NY,10,1,0,0,0,0,0,677,data scientist,senior
