Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Principal Data Scientist,"$165,000 /yr (est.)","- Role - Principal Data Scientist
Location; Nashville, TN, US
Salary: USD $150,000 – $180,000 / yr
Remote:


Job Duties:
Required Qualifications:
PhD degree in a quantitative field including but not limited to data science, physics, computer science, math, engineering, and statistics and 7+ years of data science experience (Or Master’s Degree with 10+ years’ experience).:
Mail your cv to kavita@cedentinc.com",-1,CEDENT,"Nashville, TN",1 to 50 Employees,-1,Contract,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1
Senior Data Scientist,"$140,363 /yr (est.)","About Shift:
We believe car buying should be fun, fair, and accessible to everyone. We've set out to transform an industry, using technology to bring transparency and convenience to the car buying process.
And we aren't stopping there. We seek to bring that same openness and simplicity to car ownership too, with payments, maintenance, and insurance in one easy app. At Shift, we're building the tools that empower people to buy, own, and sell the cars that make life go.
About the role:
Data Scientists at Shift build things that matter and have a material impact to the company's bottom line and the customer's experience. In this role, you will drive exciting, meaningful projects, and help define our technical and product strategy, you will have an opportunity to innovate. We move fast, have fun, and help each other out.",3.6,"Shift
3.6","Los Angeles, CA",1001 to 5000 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Scientist (Remote),"$114,764 /yr (est.)","NEW DIGITAL BANK MISSION STATEMENT:
Join us on our mission to create a completely new, 100% digital bank that truly serves customers’ best interests. We are a close-knit and fun-loving team of seasoned financial services professionals who came together for the challenge of building a bank from scratch – and we are committed to doing it all the right way (from technology infrastructure to modern marketing to customer experience).
We work with the flexibility and speed of a start-up. But we also have significant stability and capital from being part of the SMBC Group (Sumitomo Mitsui Banking Corporation). SMBC is the 2nd largest bank in Japan and the 12th largest bank in the world with operations in over 40 countries. And SMBC is committed to disrupting the US marketplace with ground-breaking products.
It’s the best of both worlds, and we are seeking proven marketing leaders to propel us towards a national launch. We have both the ambitious growth plans and the “patient capital” necessary to execute a multi-year plan. Join us on the journey to deliver an exciting concept of evolved banking.",3.6,"Manufacturers Bank
3.6","Los Angeles, CA",201 to 500 Employees,-1,Company - Private,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),-1
Data Scientist,-1,"Data scientist
NY/Remote
Only GC/USC
Job description:
Required
Experience working with large programs/projects and interdisciplinary teams
Ability to work with large data sets.
Must be able to work effectively with both business and technical stakeholders",4.5,"skysolution llc
4.5",Remote,51 to 200 Employees,2008,Company - Private,IT Services,Information Technology,,-1
Staff Data Scientist,"$195,000 /yr (est.)","Emergency room visits and hospital stays can be uncomfortable and stressful times for families and their loved ones. DispatchHealth allows people to receive high quality and cost-effective medical care in the comfort of their homes. A rapidly scaling startup, DispatchHealth provides an integrated, convenient, high-touch care-delivery solution that extends the capabilities of the patient's care team and ensures that we provide personalized, quality care in the home or at the patient's location of need.
Data and technology drive all aspects of our business and allow for better care delivery from patient onboarding, patient care, and post care follow-up. We're looking to create a best-in-class technology platform that helps our patients stay in the comfort of their homes – and we're looking for people like you to help shape and build the technology that changes the way people receive healthcare.
As a Staff Data Scientist at DispatchHealth, you will work cross-functionally to research, develop, and implement robust data science solutions to solve critical business problems. In addition, you will work directly with the product, engineering, data engineering and clinical teams to facilitate the implementation of algorithms, measure performance against key performance indicators, and drive a process of continuous improvement using data. This person will report to the Vice President of Data Science and Data Engineering.",3.0,"DispatchHealth
3.0","San Francisco, CA",1001 to 5000 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Sr Data Scientist,"$117,500 /yr (est.)","Title: :Sr Data Scientist@ Atlanta, GA
Terms of Hire: Full Time.
Salary: $ 100,000–$135,000/ YR + Benefits.

Job description::
Job Specific Experience Required/Preferred for the Role:
Master’s degree or higher in mathematics or economics. At least five years employment experience past that masters in a data science or other analytics field.
Prior experience deploying models in production. Preferably skill sets in Kubeflow or another distributed ecosystem deployment system for machine learning.
Prior experience working for one of the following:
Experience with at least working knowledge on one of the following products (ACE/ADM, Determinator, Cardguard, TRIAD/PowerCurve) OR
What Part Will You Play?
What Are We Looking for in This Role?
Minimum Qualifications
What Are Our Desired Skills and Capabilities?
You Will Enjoy:
All applications will be kept strictly confidential and once shortlisted, our team will be in touch with you for further discussions.",-1,CEDENT,"Atlanta, GA",1 to 50 Employees,-1,Contract,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1
Entry Level Data Scientist: 2022,"$92,332 /yr (est.)","Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
Start dates for this role are January 2022 and later
Data scientists are in demand across IBM’s growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to start your career!

What you’ll do as an Entry Level Data Scientist:
Who You Are:
For more information on our other Entry Level opportunities, please visit here.

These are office based positions in IBM locations including the following. Opportunities in these locations will vary based on demand & will be deleted as filled:

CA - San Francisco, San Jose
CT - Southbury
GA - Brookhaven, Sandy Springs
MA – Andover, Cambridge, Lowell
NY - Armonk, NYC
NC - Research Triangle Park
TX - Austin, Dallas",4.0,"IBM
4.0","Research Triangle Park, NC",10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),-1
Data Scientist,"$108,739 /yr (est.)","About Us
Nativo empowers brands and publishers with the world's most advanced technology for content. For brands, we enable storytelling at scale with the largest native reach and insights that unlock return-on-content. For publishers, we enrich monetization with the most comprehensive platform for next-generation ad formats and breakthrough technology for accelerated web pages. Our mission is to equip advertising for the age of content, improving the open web experience and creating meaningful connections with today's digital consumer.
At Nativo, our values are more than words—we live them through the way we work and collaborate. We are innovators and risk takers driven by curiosity and an entrepreneurial spirit to architect the future of advertising. The key to our success is connection through close communication, teamwork and a shared company culture that reflects the diversity of our clients ,our communities and ourselves.",4.0,"Nativo
4.0","Los Angeles, CA",51 to 200 Employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Senior Data Scientist (Remote),"$142,500 /yr (est.)","About Celsius Network

Celsius addresses the financial needs of today’s consumers worldwide through a democratized interest income and lending platform accessible via mobile and desktop app. With a mission to put unparalleled economic freedom in the hands of the people, and a core belief that financial services should only do what is in the best interests of the community, Celsius is a modern earning and lending platform where membership provides access to curated financial services that are not available through traditional financial institutions. Crypto holders can earn yield on the digital assets in their account with Celsius, and can borrow fiat or stablecoins against their crypto collateral at the lowest interest rates in the space.

The Celsius team is committed to doing good and doing well. We believe in the power of disruption and the importance of decentralization to create a new system that acts in the best interest of everyone. Each member of our team brings something unique and innovative to the table, but the common thread that links us together is our passion for blockchain, equality, and leading the next financial revolution that changes the equation to bring power back to the people.",3.3,"Celsius
3.3","Hoboken, NJ",201 to 500 Employees,2017,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
Data Scientist,"$117,492 /yr (est.)","Do you want to change the world? We do, too.

Solar penetration is less than 1%, but just one hour of sunlight, if harnessed, could power the entire world for a year. We have the opportunity to change the way energy is produced, distributed and consumed, and we’re looking for talented, committed people to help us drive our growth and achieve our goals.

SunPower is a solar energy solutions company with a rich heritage of pioneering the best solar technologies in the world. Our solutions are unrivaled in terms of long-term reliability, efficiency, and performance. SunPower offers the only solar + storage solution designed and warranted by one company that gives customers control over electricity consumption. Through design, installation, maintenance, and monitoring, SunPower provides its world-class solar solutions to residential and commercial customers across the U.S.

SunPower is changing the way our world is powered every day with a brilliant, passionate, and driven team of more than 2,500 in North America and the Philippines. In an industry that is reshaping the world’s energy future, there’s no better place to be than SunPower.

We believe that our employees create our brand – with each project, each communication, each task completed and each interaction. SunPower welcomes the forward thinkers, the future savers of the world, the freedom chasers and all those demanding better, cleaner energy.",4.0,"SunPower
4.0","Richmond, CA",5001 to 10000 Employees,1985,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),-1
