index,Job Title,Salary Estimate,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Job_country,Job_state,Company_Year,python_yn,visualization_yn,Excel_yn,analysis_yn,communication_yn,aws_yn
1,Senior Data Scientist,140363,3.6,"Shift
",1001 to 5000 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Los Angeles, CA,8,0,0,0,0,0,0
4,Staff Data Scientist,195000,3.0,"DispatchHealth
",1001 to 5000 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,San Francisco, CA,7,0,0,0,0,0,0
6,Entry Level Data Scientist: 2022,92332,4.0,"IBM
",10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),Research Triangle Park, NC,111,0,0,0,0,0,0
7,Data Scientist,108739,4.0,"Nativo
",51 to 200 Employees,2010,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Los Angeles, CA,12,0,0,0,0,1,0
8,Senior Data Scientist (Remote),142500,3.3,"Celsius
",201 to 500 Employees,2017,Company - Private,Lending,Finance,Unknown / Non-Applicable,Hoboken, NJ,5,0,0,0,0,0,0
9,Data Scientist,117492,4.0,"SunPower
",5001 to 10000 Employees,1985,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),Richmond, CA,37,0,0,0,0,1,0
10,Data Scientist,117000,4.1,"Nike
",10000+ Employees,1972,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Beaverton, OR,50,0,0,0,0,0,0
13,Data Scientist,97778,4.5,"Housecall Pro
",201 to 500 Employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,San Diego, CA,9,0,0,0,0,0,0
15,Data Scientist,97025,5.0,"DK Consulting, LLC
",1 to 50 Employees,2003,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),Baltimore, MD,19,0,0,0,0,0,0
21,Senior Data Scientist,142500,4.5,"Rocket Travel, Inc.
",51 to 200 Employees,2012,Company - Public,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,New York, NY,10,1,0,0,0,0,0
22,Lead Data Scientist,170000,3.8,"Infinity Consulting Solutions, Inc.
",501 to 1000 Employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Miami, FL,21,0,0,0,1,0,0
23,Senior Data Scientist,122030,5.0,"Afresh
",51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,San Francisco, CA,5,0,0,0,0,0,0
26,Data Scientist,114867,4.0,"Toyota
",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),Plano, TX,65,0,0,0,0,1,0
29,Senior Data Scientist,147455,4.9,"Signifyd
",201 to 500 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),San Jose, CA,11,0,0,0,0,0,0
30,AWS Data Scientist,167500,3.8,"Amazon Web Services, Inc.
",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Remote,Remote,28,1,0,0,0,1,1
